,States
0,Alaska
1,Colorado
2,Florida
3,Georgia
4,Hawaii
5,Illinois
6,Indiana
7,Iowa
8,Kansas
9,Kentucky
10,Louisiana
11,Maryland
12,Massachusetts
13,Minnesota
14,Missouri
15,Montana
16,Nebraska
17,Nevada
18,New Hampshire
19,New Jersey
20,New Mexico
21,New York
22,North Carolina
23,North Dakota
24,Ohio
25,Oklahoma
26,Oregon
27,Pennsylvania
28,Rhode Island
29,South Carolina
30,South Dakota
31,Tennessee
32,Utah
33,Vermont
34,Virginia
35,Washington
36,West Virginia
37,Wisconsin
38,Wyoming
